,count,mean,std,min,25th,50th,75th,max
overall,437.0,0.027,0.252,-0.567,-0.161,0.019,0.201,0.907
-2.0,29.0,-0.258,0.143,-0.567,-0.342,-0.275,-0.187,0.106
-1.0,26.0,-0.033,0.223,-0.396,-0.178,-0.046,0.079,0.371
0.0,158.0,-0.087,0.227,-0.538,-0.288,-0.119,0.071,0.466
1.0,205.0,0.145,0.21,-0.377,0.001,0.108,0.262,0.907
2.0,19.0,0.215,0.213,-0.232,0.082,0.206,0.362,0.596
